Code WZ 2008;TitleInGerman;Value_males;Value_females
26111;Herstellung von Solarzellen und Solarmodulen;1946;808
26119;Herstellung von sonstigen elektronischen Bauelementen;100434;49375
26120;Herstellung von bestückten Leiterplatten;5124;3903
262;Herstellung von Datenverarbeitungsgeräten und peripheren Geräten;15720;5898
26200;Herstellung von Datenverarbeitungsgeräten und peripheren Geräten;15720;5898
263;Herstellung von Geräten und Einrichtungen der Telekommunikationstechnik;22203;8204
26300;Herstellung von Geräten und Einrichtungen der Telekommunikationstechnik;22203;8204
264;Herstellung von Geräten der Unterhaltungselektronik;6597;3072
26400;Herstellung von Geräten der Unterhaltungselektronik;6597;3072
265;"Herstellung von Mess-, Kontroll-, Navigations- u. ä. Instrumenten und Vorrichtungen; Herstellung von Uhren";110575;45991
26511;Herstellung von elektrischen Mess-, Kontroll-, Navigations- u. ä. Instrumenten und Vorrichtungen;102758;41991
26512;Herstellung von nicht elektrischen Mess-, Kontroll-, Navigations- u. ä. Instrumenten und Vorrichtungen;4465;1909
26513;Herstellung von Prüfmaschinen;1654;414
26520;Herstellung von Uhren;1698;1677
266;Herstellung von Bestrahlungs- und Elektrotherapiegeräten und elektromedizinischen Geräten;6567;3587
26600;Herstellung von Bestrahlungs- und Elektrotherapiegeräten und elektromedizinischen Geräten;6567;3587
267;Herstellung von optischen und fotografischen Instrumenten und Geräten;26758;11296
26700;Herstellung von optischen und fotografischen Instrumenten und Geräten;26758;11296
268;Herstellung von magnetischen und optischen Datenträgern;1107;515
26800;Herstellung von magnetischen und optischen Datenträgern;1107;515
271;"Herstellung von Elektromotoren, Generatoren, Transformatoren, Elektrizitätsverteilungs- und 
-schalteinrichtungen";103336;32243
27110;Herstellung von Elektromotoren, Generatoren und Transformatoren;60077;17264
27120;Herstellung von Elektrizitätsverteilungs- und -schalteinrichtungen;43259;14979
272;Herstellung von Batterien und Akkumulatoren;8666;2775
27200;Herstellung von Batterien und Akkumulatoren;8666;2775
273;Herstellung von Kabeln und elektrischem Installationsmaterial;29519;13548
27310;Herstellung von Glasfaserkabeln;787;347
27320;Herstellung von sonstigen elektronischen und elektrischen Drähten und Kabeln;15682;6789
27330;Herstellung von elektrischem Installationsmaterial;13050;6412
274;Herstellung von elektrischen Lampen und Leuchten;23119;11073
27400;Herstellung von elektrischen Lampen und Leuchten;23119;11073
275;Herstellung von Haushaltsgeräten;28850;11387
27510;Herstellung von elektrischen Haushaltsgeräten;28771;11355
27520;Herstellung von nicht elektrischen Haushaltsgeräten;79;32
279;Herstellung von sonstigen elektrischen Ausrüstungen und Geräten a. n. g.;73695;30343
27900;Herstellung von sonstigen elektrischen Ausrüstungen und Geräten a. n. g.;73695;30343
281;Herstellung von nicht wirtschaftszweigspezifischen Maschinen;242377;52745
28110;Herstellung von Verbrennungsmotoren und Turbinen (ohne Motoren für Luft- und Straßenfahrzeuge);35870;6860
28120;Herstellung von hydraulischen und pneumatischen Komponenten und Systemen;33601;8620
28130;Herstellung von Pumpen und Kompressoren a. n. g.;35916;8927
28140;Herstellung von Armaturen a. n. g.;25319;8439
28150;Herstellung von Lagern, Getrieben, Zahnrädern und Antriebselementen;111671;19899
282;Herstellung von sonstigen nicht wirtschaftszweigspezifischen Maschinen;243175;54017
28211;Herstellung von Solarwärmekollektoren;1150;357
28219;Herstellung von sonstigen Öfen und Brennern;10264;2868
28220;Herstellung von Hebezeugen und Fördermitteln;65598;11379
28230;Herstellung von Büromaschinen (ohne Datenverarbeitungsgeräte und periphere Geräte);3305;1395
28240;Herstellung von handgeführten Werkzeugen mit Motorantrieb;10483;3466
28250;Herstellung von kälte- und lufttechnischen Erzeugnissen, nicht für den Haushalt;39952;9650
28290;Herstellung von sonstigen nicht wirtschaftszweigspezifischen Maschinen a. n. g.;112423;24902
283;Herstellung von land- und forstwirtschaftlichen Maschinen;32268;4340
28300;Herstellung von land- und forstwirtschaftlichen Maschinen;32268;4340
284;Herstellung von Werkzeugmaschinen;130184;22928
28410;Herstellung von Werkzeugmaschinen für die Metallbearbeitung;103062;18315
28491;Herstellung von Werkzeugmaschinen zur Bearbeitung von Steinen, Beton und sonstigen mineralischen Stoffen;3586;494
28492;Herstellung von Werkzeugmaschinen zur Bearbeitung von sonstigen harten Stoffen;6423;1040
28493;Herstellung von Maschinenspannzeugen und sonstigem Zubehör für Werkzeugmaschinen;3847;949
28499;Herstellung von sonstigen Werkzeugmaschinen a. n. g.;13266;2130
289;Herstellung von Maschinen für sonstige bestimmte Wirtschaftszweige;256203;48097
28910;Herstellung von Maschinen für die Metallerzeugung, von Walzwerkseinrichtungen und Gießmaschinen;12640;2150
28921;Herstellung von Bergwerksmaschinen;4762;806
28922;Herstellung von Bau- und Baustoffmaschinen;25816;4102
28930;Herstellung von Maschinen für die Nahrungs- und Genussmittelerzeugung und die Tabakverarbeitung;24407;4854
28940;Herstellung von Maschinen für die Textil- und Bekleidungsherstellung und die Lederverarbeitung;16484;3558
28950;"Herstellung von Maschinen für die Papiererzeugung und 
-verarbeitung";8043;1241
28960;Herstellung von Maschinen für die Verarbeitung  von Kunststoffen und Kautschuk;15018;2797
28990;Herstellung von Maschinen für sonstige bestimmte Wirtschaftszweige a. n. g.;149033;28589
291;Herstellung von Kraftwagen und Kraftwagenmotoren;399178;72375
29101;Herstellung von Personenkraftwagen und Personenkraftwagenmotoren;347833;65449
29102;Herstellung von Nutzkraftwagen und Nutzkraftwagenmotoren;51345;6926
292;Herstellung von Karosserien, Aufbauten und Anhängern;39106;5441
29200;Herstellung von Karosserien, Aufbauten und Anhängern;39106;5441
293;Herstellung von Teilen und Zubehör für Kraftwagen;349592;86699
29310;Herstellung elektrischer und elektronischer Ausrüstungsgegenstände für Kraftwagen;63567;25424
29320;Herstellung von sonstigen Teilen und sonstigem Zubehör für Kraftwagen;286025;61275
301;Schiff- und Bootsbau;19059;2677
30110;Schiffbau (ohne Boots- und Yachtbau);11058;1639
30120;Boots- und Yachtbau;8001;1038
302;Schienenfahrzeugbau;25566;4452
30201;Herstellung von Lokomotiven und anderen Schienenfahrzeugen;24374;4144
30202;Herstellung von Eisenbahninfrastruktur;1192;308
303;Luft- und Raumfahrzeugbau;81148;15681
30300;Luft- und Raumfahrzeugbau;81148;15681
304;Herstellung von militärischen Kampffahrzeugen;4683;773
30400;Herstellung von militärischen Kampffahrzeugen;4683;773
309;Herstellung von Fahrzeugen a. n. g.;12047;3217
30910;Herstellung von Krafträdern;4024;701
30920;Herstellung von Fahrrädern sowie von Behindertenfahrzeugen;3917;1762
30990;Herstellung von sonstigen Fahrzeugen a. n. g.;4106;754
310;Herstellung von Möbeln;92324;25679
31011;Herstellung von Büromöbeln;10876;3296
31012;Herstellung von Ladenmöbeln und sonstigen Objektmöbeln;17433;4050
31020;Herstellung von Küchenmöbeln;16541;4063
31030;Herstellung von Matratzen;2408;1929
31091;Herstellung von Polstermöbeln;5019;3361
31099;Herstellung von sonstigen Möbeln a. n. g.;40047;8980
321;Herstellung von Münzen, Schmuck und ähnlichen Erzeugnissen;3440;5478
32110;Herstellung von Münzen;341;252
32120;Herstellung von Schmuck, Gold- und Silberschmiedewaren (ohne Fantasieschmuck);2930;4996
32130;Herstellung von Fantasieschmuck;169;230
322;Herstellung von Musikinstrumenten;3675;1721
32200;Herstellung von Musikinstrumenten;3675;1721
323;Herstellung von Sportgeräten;4079;1392
32300;Herstellung von Sportgeräten;4079;1392
324;Herstellung von Spielwaren;5838;5441
32400;Herstellung von Spielwaren;5838;5441
325;Herstellung von medizinischen und zahnmedizinischen Apparaten und Materialien;101853;95857
32501;Herstellung von medizintechnischen Apparaten und Materialien a. n. g.;70070;47057
32502;Herstellung von orthopädischen Erzeugnissen;12701;16124
32503;Zahntechnische Laboratorien;19082;32676
329;Herstellung von Erzeugnissen a. n. g.;16716;11489
32910;Herstellung von Besen und Bürsten;2653;2706
32990;Herstellung von sonstigen Erzeugnissen a. n. g.;14063;8783
331;Reparatur von Metallerzeugnissen, Maschinen und Ausrüstungen;88050;15032
33110;Reparatur von Metallerzeugnissen;5020;938
33120;Reparatur von Maschinen;50034;8859
33130;Reparatur von elektronischen und optischen Geräten;3312;902
33140;Reparatur von elektrischen Ausrüstungen;4210;728
33150;Reparatur und Instandhaltung von Schiffen, Booten und Yachten;3787;603
